,customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiplelines,internet_service,online_security,online_backup,device_protection,techsupport,streaming_tv,streaming_movies,contract,paperless,payment_method,monthly_charges,total_charges,churn,probability
16,8191-XWSZG,Female,False,False,False,52,True,No,No,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,One year,False,Mailed check,20.65,1022.95,False,0.9925172080032575
17,9959-WOFKT,Male,False,False,True,71,True,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,False,Bank transfer,106.7,7382.25,False,0.9537368179821631
18,4190-MFLUW,Female,False,True,True,10,True,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,False,Credit card,55.2,528.35,True,0.8379191175271742
19,4183-MYFRB,Female,False,False,False,21,True,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,True,Electronic check,90.05,1862.9,False,0.4286684473967872
20,8779-QRDMV,Male,True,False,False,1,False,NO_PHONE,DSL,No,No,Yes,No,No,Yes,Month-to-month,True,Electronic check,39.65,39.65,True,0.24219467306753728
21,1680-VDCWW,Male,False,True,False,12,True,No,No,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,One year,False,Bank transfer,19.8,202.25,False,0.9292285732623738
22,1066-JKSGK,Male,False,False,False,1,True,No,No,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,Month-to-month,False,Mailed check,20.15,20.15,True,0.7908865876690659
23,3638-WEABW,Female,False,True,False,58,True,Yes,DSL,No,Yes,No,Yes,No,No,Two year,True,Credit card,59.9,3505.1,False,0.9868021990497685
24,6322-HRPFA,Male,False,True,True,49,True,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,False,Credit card,59.6,2970.3,False,0.9775519827607266
25,6865-JZNKO,Female,False,False,False,30,True,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,True,Bank transfer,55.3,1530.6,False,0.890171522788659
26,6467-CHFZW,Male,False,True,True,47,True,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,True,Electronic check,99.35,4749.15,True,0.5094332209307346
27,8665-UTDHZ,Male,False,True,True,1,False,NO_PHONE,DSL,No,Yes,No,No,No,No,Month-to-month,False,Electronic check,30.2,30.2,True,0.48296467397326703
28,5248-YGIJN,Male,False,True,False,72,True,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,True,Credit card,90.25,6369.45,False,0.9863463444097511
29,8773-HHUOZ,Female,False,False,True,17,True,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,True,Mailed check,64.7,1093.1,True,0.6580063331523687
30,3841-NFECX,Female,True,True,False,71,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,True,Credit card,96.35,6766.95,False,0.9717738756583056
31,4929-XIHVW,Male,True,True,False,2,True,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,True,Credit card,95.5,181.65,False,0.2503347304554695
32,6827-IEAUQ,Female,False,True,True,27,True,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,False,Mailed check,66.15,1874.45,False,0.9724595661606371
33,7310-EGVHZ,Male,False,False,False,1,True,No,No,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,Month-to-month,False,Bank transfer,20.2,20.2,False,0.7794111478727943
34,3413-BMNZE,Male,True,False,False,1,True,No,DSL,No,No,No,No,No,No,Month-to-month,False,Bank transfer,45.25,45.25,False,0.5674729309307687
35,6234-RAAPL,Female,False,True,True,72,True,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,False,Bank transfer,99.9,7251.7,False,0.9764509846015709
36,6047-YHPVI,Male,False,False,False,5,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,69.7,316.9,True,0.3426477266698147
37,6572-ADKRS,Female,False,False,False,46,True,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,True,Credit card,74.8,3548.3,False,0.7658276235164436
38,5380-WJKOV,Male,False,False,False,34,True,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,True,Electronic check,106.35,3549.25,True,0.40206962241945543
39,8168-UQWWF,Female,False,False,False,11,True,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,True,Bank transfer,97.85,1105.4,True,0.2555262215804397
40,8865-TNMNX,Male,False,True,True,10,True,No,DSL,No,Yes,No,No,No,No,One year,False,Mailed check,49.55,475.7,False,0.8846061518938684
41,9489-DEDVP,Female,False,True,True,70,True,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,True,Credit card,69.2,4872.35,False,0.9898569662187231
42,9867-JCZSP,Female,False,True,True,17,True,No,No,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,One year,False,Mailed check,20.75,418.25,False,0.9574533817205131
43,4671-VJLCL,Female,False,False,False,63,True,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,True,Credit card,79.85,4861.45,False,0.9887027046496795
44,4080-IIARD,Female,False,True,False,13,True,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,True,Electronic check,76.2,981.45,False,0.7213039660549971
45,3714-NTNFO,Female,False,False,False,49,True,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,True,Electronic check,84.5,3906.7,False,0.5860094560771372
46,5948-UJZLF,Male,False,False,False,2,True,No,DSL,No,Yes,No,No,No,No,Month-to-month,False,Mailed check,49.25,97.0,False,0.6730932925186717
47,7760-OYPDY,Female,False,False,False,2,True,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,True,Electronic check,80.65,144.15,True,0.27259697896414337
48,7639-LIAYI,Male,False,False,False,52,True,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,True,Credit card,79.75,4217.8,False,0.9745093294248142
49,2954-PIBKO,Female,False,True,True,69,True,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,True,Credit card,64.15,4254.1,False,0.9948598288096347
50,8012-SOUDQ,Female,True,False,False,43,True,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,True,Electronic check,90.25,3838.75,False,0.48205687969512134
51,9420-LOJKX,Female,False,False,False,15,True,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,True,Credit card,99.1,1426.4,True,0.5118874499705066
52,6575-SUVOI,Female,True,True,False,25,True,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,True,Credit card,69.5,1752.65,False,0.7951010583489874
53,7495-OOKFY,Female,True,True,False,8,True,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,True,Credit card,80.65,633.3,True,0.3643709541593647
54,4667-QONEA,Female,True,True,True,60,True,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,True,Credit card,74.85,4456.35,False,0.9812281758207358
55,1658-BYGOY,Male,True,False,False,18,True,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,True,Electronic check,95.45,1752.55,True,0.22496584801409447
56,8769-KKTPH,Female,False,True,True,63,True,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,True,Credit card,99.65,6311.2,False,0.8784205946255512
57,5067-XJQFU,Male,True,True,True,66,True,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,True,Electronic check,108.45,7076.35,False,0.7923799907272537
58,3957-SQXML,Female,False,True,True,34,True,Yes,No,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,Two year,False,Credit card,24.95,894.3,False,0.9876157026093193
59,5954-BDFSG,Female,False,False,False,72,True,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,True,Credit card,107.5,7853.7,False,0.9285345538925589
60,0434-CSFON,Female,False,True,False,47,True,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,True,Electronic check,100.5,4707.1,False,0.4407532331869384
61,1215-FIGMP,Male,False,False,False,60,True,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,True,Bank transfer,89.9,5450.7,False,0.7241391485295414
62,0526-SXDJP,Male,False,True,False,72,False,NO_PHONE,DSL,Yes,Yes,Yes,No,No,No,Two year,False,Bank transfer,42.1,2962.0,False,0.9948705703036509
63,0557-ASKVU,Female,False,True,True,18,True,No,DSL,No,No,Yes,Yes,No,No,One year,True,Credit card,54.4,957.1,False,0.9203135511289868
64,5698-BQJOH,Female,False,False,False,9,True,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,False,Electronic check,94.4,857.25,True,0.26074747185268543
65,5122-CYFXA,Female,False,False,False,3,True,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,True,Electronic check,75.3,244.1,False,0.528652510367319
66,8627-ZYGSZ,Male,False,True,False,47,True,Yes,Fiber optic,No,Yes,No,No,No,No,One year,True,Electronic check,78.9,3650.35,False,0.8019395110449958
67,3410-YOQBQ,Female,False,False,False,31,True,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,False,Mailed check,79.2,2497.2,False,0.9523121426952704
68,3170-NMYVV,Female,False,True,True,50,True,No,No,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,Two year,False,Bank transfer,20.15,930.9,False,0.9956649106263444
69,7410-OIEDU,Male,False,False,False,10,True,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,True,Mailed check,79.85,887.35,False,0.5695172262095801
70,2273-QCKXA,Male,False,False,False,1,True,No,DSL,No,No,No,Yes,No,No,Month-to-month,False,Mailed check,49.05,49.05,False,0.7235957818444865
71,0731-EBJQB,Female,False,True,True,52,True,No,No,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,One year,True,Electronic check,20.4,1090.65,False,0.9880380973753393
72,1891-QRQSA,Male,True,True,True,64,True,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,True,Bank transfer,111.6,7099.0,False,0.9259874328350803
73,8028-PNXHQ,Male,False,True,True,62,True,Yes,No,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,Two year,True,Bank transfer,24.25,1424.6,False,0.9959292068666491
74,5630-AHZIL,Female,False,False,True,3,True,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,True,Bank transfer,64.5,177.4,False,0.7535339116441349
75,2673-CXQEU,Female,True,False,False,56,True,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,False,Electronic check,110.5,6139.5,False,0.7771765337260255
76,6416-JNVRK,Female,False,False,False,46,True,No,DSL,No,No,No,No,No,Yes,One year,False,Credit card,55.65,2688.85,False,0.9555510801623662
77,5590-ZSKRV,Female,False,True,True,8,True,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,False,Mailed check,54.65,482.25,False,0.8275595957723596
78,0191-ZHSKZ,Male,True,False,False,30,True,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,True,Electronic check,74.75,2111.3,False,0.7147891212576702
79,3887-PBQAO,Female,False,True,True,45,True,Yes,No,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,One year,True,Credit card,25.9,1216.6,False,0.9844729040772686
80,5919-TMRGD,Female,False,False,True,1,True,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,True,Electronic check,79.35,79.35,True,0.29481299790645876
81,8108-UXRQN,Female,False,True,True,11,False,NO_PHONE,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,False,Electronic check,50.55,565.35,False,0.5535763817730273
82,9191-MYQKX,Female,False,True,False,7,True,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,True,Bank transfer,75.15,496.9,True,0.4104734730158539
83,9919-YLNNG,Female,False,False,False,42,True,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,True,Bank transfer,103.8,4327.5,False,0.6401381362847869
84,0318-ZOPWS,Female,False,True,False,49,True,No,No,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,Two year,True,Bank transfer,20.15,973.35,False,0.9924064698286524
85,4445-ZJNMU,Male,False,False,False,9,True,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,True,Credit card,99.3,918.75,False,0.3139547310820604
86,4808-YNLEU,Female,False,True,False,35,True,No,DSL,Yes,No,No,No,Yes,No,One year,True,Bank transfer,62.15,2215.45,False,0.9331085000102393
87,1862-QRWPE,Female,False,True,True,48,True,No,No,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,Two year,False,Bank transfer,20.65,1057.0,False,0.9950213043472818
88,2796-NNUFI,Female,False,True,True,46,True,No,No,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,Two year,True,Mailed check,19.95,927.1,False,0.9931747189639163
89,3016-KSVCP,Male,False,True,False,29,False,NO_PHONE,DSL,No,No,No,No,Yes,No,Month-to-month,False,Mailed check,33.75,1009.25,False,0.7336779295285523
90,4767-HZZHQ,Male,False,True,True,30,True,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,False,Bank transfer,82.05,2570.2,False,0.7503517946045748
91,2424-WVHPL,Male,True,False,False,1,True,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,False,Electronic check,74.7,74.7,False,0.4062568019489038
92,7233-PAHHL,Male,False,True,True,66,True,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,True,Mailed check,84.0,5714.25,False,0.9834469778872164
93,6067-NGCEU,Female,False,False,False,65,True,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,True,Credit card,111.05,7107.0,False,0.7547402017545198
94,9848-JQJTX,Male,False,False,False,72,True,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,True,Bank transfer,100.9,7459.05,False,0.875701195329798
95,8637-XJIVR,Female,False,False,False,12,True,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,True,Electronic check,78.95,927.35,True,0.4347393862059985
96,9803-FTJCG,Male,False,True,True,71,True,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,True,Credit card,66.85,4748.7,False,0.9927711328199305
97,0278-YXOOG,Male,False,False,False,5,True,No,No,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,Month-to-month,False,Mailed check,21.05,113.85,True,0.8306607733983186
98,3212-KXOCR,Male,False,False,False,52,True,No,No,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,Two year,False,Bank transfer,21.0,1107.2,False,0.9955459705823515
99,4598-XLKNJ,Female,True,True,False,25,True,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,True,Electronic check,98.5,2514.5,True,0.29514686423450875
100,6380-ARCEH,Male,False,False,False,1,True,No,No,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,Month-to-month,False,Mailed check,20.2,20.2,False,0.7913066739756571
101,3679-XASPY,Female,False,True,True,1,True,No,No,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,Month-to-month,False,Electronic check,19.45,19.45,False,0.750011815478683
102,7123-WQUHX,Male,False,False,False,38,True,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,False,Bank transfer,95.0,3605.6,False,0.8320435905320537
103,5386-THSLQ,Female,True,True,False,66,False,NO_PHONE,DSL,No,Yes,Yes,No,Yes,No,One year,False,Bank transfer,45.55,3027.25,False,0.963134732077147
104,3192-NQECA,Male,False,True,False,68,True,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,True,Bank transfer,110.0,7611.85,True,0.9036748784599619
105,6180-YBIQI,Male,False,False,False,5,False,NO_PHONE,DSL,No,No,No,No,No,No,Month-to-month,False,Mailed check,24.3,100.2,False,0.5363219897041762
106,6728-DKUCO,Female,False,True,True,72,True,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,True,Electronic check,104.15,7303.05,False,0.8698889536169678
107,9750-BOOHV,Female,False,False,False,32,False,NO_PHONE,DSL,Yes,No,No,No,No,No,One year,False,Mailed check,30.15,927.65,False,0.9404627831125747
108,8597-CWYHH,Male,False,False,False,43,True,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,False,Mailed check,94.35,3921.3,False,0.7593667977668707
109,2848-YXSMW,Male,False,True,True,72,True,No,No,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,Two year,False,Credit card,19.4,1363.25,False,0.99885832487229
110,0486-HECZI,Male,False,True,False,55,True,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,True,Electronic check,96.75,5238.9,True,0.7241595323418581
111,4549-ZDQYY,Female,False,False,False,52,True,No,DSL,Yes,No,Yes,Yes,No,No,One year,False,Credit card,57.95,3042.25,False,0.9868902316737863
112,5712-AHQNN,Female,False,False,False,43,True,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,True,Electronic check,91.65,3954.1,False,0.6143312465285019
113,4846-WHAFZ,Female,True,True,False,37,True,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,76.5,2868.15,True,0.49787868378791966
114,5256-SKJGO,Female,False,True,True,64,False,NO_PHONE,DSL,No,Yes,No,Yes,Yes,Yes,Two year,True,Electronic check,54.6,3423.5,False,0.9741989895846218
115,3071-VBYPO,Male,False,True,True,3,True,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,False,Electronic check,89.85,248.4,False,0.512978468745285
116,9560-BBZXK,Female,False,False,False,36,False,NO_PHONE,DSL,Yes,No,No,No,No,No,Two year,False,Bank transfer,31.05,1126.35,False,0.9702955770899799
117,5299-RULOA,Female,False,True,True,10,True,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,True,Electronic check,100.25,1064.65,True,0.34021510009843914
118,8402-OOOHJ,Female,False,False,False,41,True,No,No,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,Two year,False,Mailed check,20.65,835.15,False,0.9922167515049329
119,9445-ZUEQE,Male,False,True,True,27,True,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,True,Credit card,85.2,2151.6,False,0.7326558159249561
120,1091-SOZGA,Female,False,True,True,56,True,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,True,Credit card,99.8,5515.45,False,0.8013212849862383
121,2928-HLDBA,Female,False,False,False,6,True,No,No,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,Month-to-month,False,Mailed check,20.7,112.75,False,0.8325154183116195
122,0404-SWRVG,Male,False,False,False,3,True,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,74.4,229.55,True,0.2729039371084784
123,6497-TILVL,Female,False,True,True,7,True,No,DSL,Yes,No,No,No,No,No,Month-to-month,False,Mailed check,50.7,350.35,False,0.8141518297093422
124,7219-TLZHO,Female,False,True,True,4,True,No,No,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,Month-to-month,False,Mailed check,20.85,62.9,False,0.8416128304095647
125,4622-YNKIJ,Male,False,False,False,33,True,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,True,Electronic check,88.95,3027.65,False,0.892678132735461
126,4412-YLTKF,Female,True,False,False,27,True,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,True,Electronic check,78.05,2135.5,True,0.38266702560781185
127,6734-PSBAW,Male,False,True,False,72,True,Yes,No,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,Two year,True,Bank transfer,23.55,1723.95,False,0.9968640593179017
128,3930-ZGWVE,Male,False,False,False,1,True,No,No,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,Month-to-month,False,Mailed check,19.75,19.75,False,0.7875035151343758
129,2639-UGMAZ,Male,True,False,False,71,False,NO_PHONE,DSL,Yes,Yes,No,No,Yes,Yes,One year,True,Electronic check,56.45,3985.35,False,0.9539120955359528
130,2876-GZYZC,Female,False,False,False,13,True,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,True,Electronic check,85.95,1215.65,False,0.29150518277615656
131,6207-WIOLX,Female,False,True,True,25,False,NO_PHONE,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,True,Credit card,58.6,1502.65,True,0.7194284552759076
132,8587-XYZSF,Male,False,False,False,67,True,No,DSL,No,No,No,Yes,No,No,Two year,False,Bank transfer,50.55,3260.1,False,0.9949647287259086
133,3091-FYHKI,Male,False,False,False,1,False,NO_PHONE,DSL,No,No,No,No,No,Yes,Month-to-month,True,Electronic check,35.45,35.45,True,0.2965510855668424
134,2372-HWUHI,Male,False,False,False,2,True,No,DSL,No,No,No,No,No,No,Month-to-month,False,Electronic check,44.35,81.25,True,0.5681810596020845
135,7799-LGRDP,Female,False,False,False,43,True,Yes,No,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,Two year,True,Credit card,25.7,1188.2,False,0.988262895563475
136,7850-VWJUU,Female,False,False,False,23,True,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,True,Bank transfer,75.0,1778.5,False,0.6595518101940325
137,3774-VBNXY,Female,False,True,True,64,True,No,No,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,Two year,False,Mailed check,20.2,1277.75,False,0.9980779788523438
138,6217-KDYWC,Male,False,False,True,57,True,No,No,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,Two year,True,Mailed check,19.6,1170.55,False,0.9964478365351586
139,0390-DCFDQ,Female,True,True,False,1,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Mailed check,70.45,70.45,True,0.31295864696664
140,3146-MSEGF,Female,True,True,True,72,True,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,True,Credit card,88.05,6425.65,False,0.9832780171691251
141,4080-OGPJL,Female,False,False,False,8,True,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,False,Electronic check,71.15,563.65,True,0.7226003767779852
142,1095-WGNGG,Female,False,True,False,61,True,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,True,Bank transfer,101.05,5971.25,False,0.87341315350543
143,2636-SJDOU,Male,False,False,False,64,True,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,True,Credit card,84.3,5289.05,False,0.9436316153943461
144,1131-QQZEB,Male,True,True,False,71,True,Yes,No,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,Two year,False,Bank transfer,23.95,1756.2,False,0.996741723012988
145,5716-EZXZN,Female,False,True,True,65,True,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,True,Credit card,99.05,6416.7,False,0.9676588764156367
146,6837-BJYDQ,Male,False,False,False,3,True,No,No,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,NO_INTERNET,One year,False,Mailed check,19.6,61.35,False,0.898532220084727
147,2135-RXIHG,Male,False,False,False,1,True,No,DSL,No,No,No,No,No,No,Month-to-month,True,Electronic check,45.65,45.65,True,0.5046843019602285
148,6440-DKQGE,Male,False,False,True,30,True,No,DSL,No,Yes,Yes,No,Yes,No,One year,False,Credit card,64.5,1929.95,False,0.9369938409081773
149,3466-BYAVD,Male,False,True,True,15,True,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,True,Mailed check,69.5,1071.4,False,0.7869223267632777
150,3780-YVMFA,Female,False,True,True,8,True,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,True,Electronic check,68.55,564.35,False,0.565215590366291
151,3874-EQOEP,Male,False,False,False,7,True,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,False,Mailed check,95.0,655.5,True,0.3305541501939674
152,1679-JRFBR,Female,False,True,True,70,True,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,True,Credit card,108.15,7930.55,False,0.874642219163539
153,9073-ZZIAY,Male,False,True,True,62,True,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,False,Electronic check,86.1,5215.25,False,0.9879021932651884
