customerID	gender	SeniorCitizen	Partner	Dependents	tenure	PhoneService	MultipleLines	InternetService	OnlineSecurity	OnlineBackup	DeviceProtection	TechSupport	StreamingTV	StreamingMovies	Contract	PaperlessBilling	PaymentMethod	MonthlyCharges	TotalCharges	Churn	probability
4190-MFLUW	Female	No	Yes	Yes	10	Yes	No	DSL	No	No	Yes	Yes	No	No	Month-to-month	No	Credit card (automatic)	55.2	528.35	Yes	0.273517997833
4183-MYFRB	Female	No	No	No	21	Yes	No	Fiber optic	No	Yes	Yes	No	No	Yes	Month-to-month	Yes	Electronic check	90.05	1862.9	No	0.513866732405
8779-QRDMV	Male	Yes	No	No	1	No	No phone service	DSL	No	No	Yes	No	No	Yes	Month-to-month	Yes	Electronic check	39.65	39.65	Yes	0.766133689002
1680-VDCWW	Male	No	Yes	No	12	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	One year	No	Bank transfer (automatic)	19.8	202.25	No	0.0436636627155
1066-JKSGK	Male	No	No	No	1	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Month-to-month	No	Mailed check	20.15	20.15	Yes	0.420088051108
3638-WEABW	Female	No	Yes	No	58	Yes	Yes	DSL	No	Yes	No	Yes	No	No	Two year	Yes	Credit card (automatic)	59.9	3505.1	No	0.0245114358466
6322-HRPFA	Male	No	Yes	Yes	49	Yes	No	DSL	Yes	Yes	No	Yes	No	No	Month-to-month	No	Credit card (automatic)	59.6	2970.3	No	0.0787972294491
6865-JZNKO	Female	No	No	No	30	Yes	No	DSL	Yes	Yes	No	No	No	No	Month-to-month	Yes	Bank transfer (automatic)	55.3	1530.6	No	0.126602583815
6467-CHFZW	Male	No	Yes	Yes	47	Yes	Yes	Fiber optic	No	Yes	No	No	Yes	Yes	Month-to-month	Yes	Electronic check	99.35	4749.15	Yes	0.465439590025
8665-UTDHZ	Male	No	Yes	Yes	1	No	No phone service	DSL	No	Yes	No	No	No	No	Month-to-month	No	Electronic check	30.2	30.2	Yes	0.494773328837
5248-YGIJN	Male	No	Yes	No	72	Yes	Yes	DSL	Yes	Yes	Yes	Yes	Yes	Yes	Two year	Yes	Credit card (automatic)	90.25	6369.45	No	0.0150372194855
8773-HHUOZ	Female	No	No	Yes	17	Yes	No	DSL	No	No	No	No	Yes	Yes	Month-to-month	Yes	Mailed check	64.7	1093.1	Yes	0.214723208718
3841-NFECX	Female	Yes	Yes	No	71	Yes	Yes	Fiber optic	Yes	Yes	Yes	Yes	No	No	Two year	Yes	Credit card (automatic)	96.35	6766.95	No	0.0383719850742
4929-XIHVW	Male	Yes	Yes	No	2	Yes	No	Fiber optic	No	No	Yes	No	Yes	Yes	Month-to-month	Yes	Credit card (automatic)	95.5	181.65	No	0.69703899489
6827-IEAUQ	Female	No	Yes	Yes	27	Yes	No	DSL	Yes	Yes	Yes	Yes	No	No	One year	No	Mailed check	66.15	1874.45	No	0.0973569846332
7310-EGVHZ	Male	No	No	No	1	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Month-to-month	No	Bank transfer (automatic)	20.2	20.2	No	0.411688131058
3413-BMNZE	Male	Yes	No	No	1	Yes	No	DSL	No	No	No	No	No	No	Month-to-month	No	Bank transfer (automatic)	45.25	45.25	No	0.570192530208
6234-RAAPL	Female	No	Yes	Yes	72	Yes	Yes	Fiber optic	Yes	Yes	No	Yes	Yes	No	Two year	No	Bank transfer (automatic)	99.9	7251.7	No	0.0461103174804
6047-YHPVI	Male	No	No	No	5	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	69.7	316.9	Yes	0.51820871047
6572-ADKRS	Female	No	No	No	46	Yes	No	Fiber optic	No	No	Yes	No	No	No	Month-to-month	Yes	Credit card (automatic)	74.8	3548.3	No	0.178095138641
5380-WJKOV	Male	No	No	No	34	Yes	Yes	Fiber optic	No	Yes	Yes	No	Yes	Yes	Month-to-month	Yes	Electronic check	106.35	3549.25	Yes	0.553884606221
8168-UQWWF	Female	No	No	No	11	Yes	Yes	Fiber optic	No	No	Yes	No	Yes	Yes	Month-to-month	Yes	Bank transfer (automatic)	97.85	1105.4	Yes	0.736848183119
8865-TNMNX	Male	No	Yes	Yes	10	Yes	No	DSL	No	Yes	No	No	No	No	One year	No	Mailed check	49.55	475.7	No	0.109497284142
9489-DEDVP	Female	No	Yes	Yes	70	Yes	Yes	DSL	Yes	Yes	No	No	Yes	No	Two year	Yes	Credit card (automatic)	69.2	4872.35	No	0.00970476190476
9867-JCZSP	Female	No	Yes	Yes	17	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	One year	No	Mailed check	20.75	418.25	No	0.030192514119
4671-VJLCL	Female	No	No	No	63	Yes	Yes	DSL	Yes	Yes	Yes	Yes	Yes	No	Two year	Yes	Credit card (automatic)	79.85	4861.45	No	0.0104379176732
4080-IIARD	Female	No	Yes	No	13	Yes	Yes	DSL	Yes	Yes	No	Yes	Yes	No	Month-to-month	Yes	Electronic check	76.2	981.45	No	0.25046408862
3714-NTNFO	Female	No	No	No	49	Yes	Yes	Fiber optic	No	No	No	No	No	Yes	Month-to-month	Yes	Electronic check	84.5	3906.7	No	0.454358261219
5948-UJZLF	Male	No	No	No	2	Yes	No	DSL	No	Yes	No	No	No	No	Month-to-month	No	Mailed check	49.25	97.0	No	0.388663561346
7760-OYPDY	Female	No	No	No	2	Yes	No	Fiber optic	No	No	No	No	Yes	No	Month-to-month	Yes	Electronic check	80.65	144.15	Yes	0.81406934165
7639-LIAYI	Male	No	No	No	52	Yes	Yes	DSL	Yes	No	No	Yes	Yes	Yes	Two year	Yes	Credit card (automatic)	79.75	4217.8	No	0.0349010986871
2954-PIBKO	Female	No	Yes	Yes	69	Yes	Yes	DSL	Yes	No	Yes	Yes	No	No	Two year	Yes	Credit card (automatic)	64.15	4254.1	No	0.0124592560758
8012-SOUDQ	Female	Yes	No	No	43	Yes	Yes	Fiber optic	No	Yes	No	No	Yes	No	Month-to-month	Yes	Electronic check	90.25	3838.75	No	0.510403610608
9420-LOJKX	Female	No	No	No	15	Yes	No	Fiber optic	Yes	Yes	No	No	Yes	Yes	Month-to-month	Yes	Credit card (automatic)	99.1	1426.4	Yes	0.487529480821
6575-SUVOI	Female	Yes	Yes	No	25	Yes	Yes	DSL	Yes	No	No	Yes	Yes	No	Month-to-month	Yes	Credit card (automatic)	69.5	1752.65	No	0.202936043768
7495-OOKFY	Female	Yes	Yes	No	8	Yes	Yes	Fiber optic	No	Yes	No	No	No	No	Month-to-month	Yes	Credit card (automatic)	80.65	633.3	Yes	0.653734644018
4667-QONEA	Female	Yes	Yes	Yes	60	Yes	No	DSL	Yes	Yes	Yes	Yes	No	Yes	One year	Yes	Credit card (automatic)	74.85	4456.35	No	0.0711051864155
1658-BYGOY	Male	Yes	No	No	18	Yes	Yes	Fiber optic	No	No	No	No	Yes	Yes	Month-to-month	Yes	Electronic check	95.45	1752.55	Yes	0.710074135391
8769-KKTPH	Female	No	Yes	Yes	63	Yes	Yes	Fiber optic	Yes	No	No	No	Yes	Yes	One year	Yes	Credit card (automatic)	99.65	6311.2	No	0.168617738397
5067-XJQFU	Male	Yes	Yes	Yes	66	Yes	Yes	Fiber optic	No	Yes	Yes	Yes	Yes	Yes	One year	Yes	Electronic check	108.45	7076.35	No	0.242761244828
3957-SQXML	Female	No	Yes	Yes	34	Yes	Yes	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Two year	No	Credit card (automatic)	24.95	894.3	No	0.00225755166932
5954-BDFSG	Female	No	No	No	72	Yes	Yes	Fiber optic	No	No	Yes	Yes	Yes	Yes	Two year	Yes	Credit card (automatic)	107.5	7853.7	No	0.12468094819
0434-CSFON	Female	No	Yes	No	47	Yes	Yes	Fiber optic	No	No	Yes	No	Yes	Yes	Month-to-month	Yes	Electronic check	100.5	4707.1	No	0.457909703168
1215-FIGMP	Male	No	No	No	60	Yes	Yes	Fiber optic	No	Yes	No	No	Yes	No	Month-to-month	Yes	Bank transfer (automatic)	89.9	5450.7	No	0.260204055264
0526-SXDJP	Male	No	Yes	No	72	No	No phone service	DSL	Yes	Yes	Yes	No	No	No	Two year	No	Bank transfer (automatic)	42.1	2962.0	No	0.0302532077532
0557-ASKVU	Female	No	Yes	Yes	18	Yes	No	DSL	No	No	Yes	Yes	No	No	One year	Yes	Credit card (automatic)	54.4	957.1	No	0.142589534365
5698-BQJOH	Female	No	No	No	9	Yes	Yes	Fiber optic	No	No	No	No	Yes	Yes	Month-to-month	No	Electronic check	94.4	857.25	Yes	0.65138879529
5122-CYFXA	Female	No	No	No	3	Yes	No	DSL	No	Yes	No	Yes	Yes	Yes	Month-to-month	Yes	Electronic check	75.3	244.1	No	0.327759897006
8627-ZYGSZ	Male	No	Yes	No	47	Yes	Yes	Fiber optic	No	Yes	No	No	No	No	One year	Yes	Electronic check	78.9	3650.35	No	0.209818954542
3410-YOQBQ	Female	No	No	No	31	Yes	No	DSL	No	Yes	Yes	Yes	Yes	Yes	Two year	No	Mailed check	79.2	2497.2	No	0.0363258363815
3170-NMYVV	Female	No	Yes	Yes	50	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Two year	No	Bank transfer (automatic)	20.15	930.9	No	0.002
7410-OIEDU	Male	No	No	No	10	Yes	No	Fiber optic	Yes	No	Yes	No	No	No	Month-to-month	Yes	Mailed check	79.85	887.35	No	0.347526141869
2273-QCKXA	Male	No	No	No	1	Yes	No	DSL	No	No	No	Yes	No	No	Month-to-month	No	Mailed check	49.05	49.05	No	0.449241324065
0731-EBJQB	Female	No	Yes	Yes	52	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	One year	Yes	Electronic check	20.4	1090.65	No	0.0212742182255
1891-QRQSA	Male	Yes	Yes	Yes	64	Yes	Yes	Fiber optic	Yes	No	Yes	Yes	Yes	Yes	Two year	Yes	Bank transfer (automatic)	111.6	7099.0	No	0.109901785818
8028-PNXHQ	Male	No	Yes	Yes	62	Yes	Yes	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Two year	Yes	Bank transfer (automatic)	24.25	1424.6	No	0.00258333333333
5630-AHZIL	Female	No	No	Yes	3	Yes	No	DSL	Yes	No	No	Yes	No	Yes	Month-to-month	Yes	Bank transfer (automatic)	64.5	177.4	No	0.249851421524
2673-CXQEU	Female	Yes	No	No	56	Yes	Yes	Fiber optic	Yes	Yes	Yes	No	Yes	Yes	One year	No	Electronic check	110.5	6139.5	No	0.208113399247
6416-JNVRK	Female	No	No	No	46	Yes	No	DSL	No	No	No	No	No	Yes	One year	No	Credit card (automatic)	55.65	2688.85	No	0.0881224331327
5590-ZSKRV	Female	No	Yes	Yes	8	Yes	No	DSL	Yes	Yes	No	No	No	No	Month-to-month	No	Mailed check	54.65	482.25	No	0.140676887174
0191-ZHSKZ	Male	Yes	No	No	30	Yes	No	DSL	Yes	Yes	No	No	Yes	Yes	Month-to-month	Yes	Electronic check	74.75	2111.3	No	0.242213166383
3887-PBQAO	Female	No	Yes	Yes	45	Yes	Yes	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	One year	Yes	Credit card (automatic)	25.9	1216.6	No	0.0069920908597
5919-TMRGD	Female	No	No	Yes	1	Yes	No	Fiber optic	No	No	No	No	Yes	No	Month-to-month	Yes	Electronic check	79.35	79.35	Yes	0.801316512981
8108-UXRQN	Female	No	Yes	Yes	11	No	No phone service	DSL	Yes	No	No	No	Yes	Yes	Month-to-month	No	Electronic check	50.55	565.35	No	0.329438310908
9191-MYQKX	Female	No	Yes	No	7	Yes	No	Fiber optic	No	No	Yes	No	No	No	Month-to-month	Yes	Bank transfer (automatic)	75.15	496.9	Yes	0.653056722835
9919-YLNNG	Female	No	No	No	42	Yes	No	Fiber optic	No	Yes	Yes	Yes	Yes	Yes	Month-to-month	Yes	Bank transfer (automatic)	103.8	4327.5	No	0.26640302641
0318-ZOPWS	Female	No	Yes	No	49	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Two year	Yes	Bank transfer (automatic)	20.15	973.35	No	0.00133333333333
4445-ZJNMU	Male	No	No	No	9	Yes	Yes	Fiber optic	No	Yes	No	No	Yes	Yes	Month-to-month	Yes	Credit card (automatic)	99.3	918.75	No	0.516694475839
4808-YNLEU	Female	No	Yes	No	35	Yes	No	DSL	Yes	No	No	No	Yes	No	One year	Yes	Bank transfer (automatic)	62.15	2215.45	No	0.0552654758532
1862-QRWPE	Female	No	Yes	Yes	48	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Two year	No	Bank transfer (automatic)	20.65	1057.0	No	0.002
2796-NNUFI	Female	No	Yes	Yes	46	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Two year	Yes	Mailed check	19.95	927.1	No	0.0199406031829
3016-KSVCP	Male	No	Yes	No	29	No	No phone service	DSL	No	No	No	No	Yes	No	Month-to-month	No	Mailed check	33.75	1009.25	No	0.212503675393
4767-HZZHQ	Male	No	Yes	Yes	30	Yes	No	Fiber optic	No	Yes	Yes	No	No	No	Month-to-month	No	Bank transfer (automatic)	82.05	2570.2	No	0.249001878973
2424-WVHPL	Male	Yes	No	No	1	Yes	No	Fiber optic	No	No	No	Yes	No	No	Month-to-month	No	Electronic check	74.7	74.7	No	0.451611217834
7233-PAHHL	Male	No	Yes	Yes	66	Yes	Yes	DSL	Yes	No	Yes	Yes	Yes	Yes	Two year	Yes	Mailed check	84.0	5714.25	No	0.0170955004092
6067-NGCEU	Female	No	No	No	65	Yes	Yes	Fiber optic	Yes	Yes	Yes	No	Yes	Yes	Month-to-month	Yes	Credit card (automatic)	111.05	7107.0	No	0.23401642622
9848-JQJTX	Male	No	No	No	72	Yes	Yes	Fiber optic	No	Yes	Yes	No	Yes	Yes	Two year	Yes	Bank transfer (automatic)	100.9	7459.05	No	0.142076962926
8637-XJIVR	Female	No	No	No	12	Yes	Yes	Fiber optic	Yes	No	No	No	No	No	Month-to-month	Yes	Electronic check	78.95	927.35	Yes	0.553271248163
9803-FTJCG	Male	No	Yes	Yes	71	Yes	Yes	DSL	Yes	Yes	No	Yes	No	No	One year	Yes	Credit card (automatic)	66.85	4748.7	No	0.0307146482286
0278-YXOOG	Male	No	No	No	5	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Month-to-month	No	Mailed check	21.05	113.85	Yes	0.195103866867
3212-KXOCR	Male	No	No	No	52	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Two year	No	Bank transfer (automatic)	21.0	1107.2	No	0.00693633121265
4598-XLKNJ	Female	Yes	Yes	No	25	Yes	No	Fiber optic	No	Yes	Yes	No	Yes	Yes	Month-to-month	Yes	Electronic check	98.5	2514.5	Yes	0.661115434786
6380-ARCEH	Male	No	No	No	1	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Month-to-month	No	Mailed check	20.2	20.2	No	0.410154623125
3679-XASPY	Female	No	Yes	Yes	1	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Month-to-month	No	Electronic check	19.45	19.45	No	0.337115302442
7123-WQUHX	Male	No	No	No	38	Yes	Yes	Fiber optic	No	No	Yes	Yes	Yes	No	One year	No	Bank transfer (automatic)	95.0	3605.6	No	0.130427158533
5386-THSLQ	Female	Yes	Yes	No	66	No	No phone service	DSL	No	Yes	Yes	No	Yes	No	One year	No	Bank transfer (automatic)	45.55	3027.25	No	0.159370011792
3192-NQECA	Male	No	Yes	No	68	Yes	Yes	Fiber optic	No	Yes	Yes	Yes	Yes	Yes	Two year	Yes	Bank transfer (automatic)	110.0	7611.85	Yes	0.159766155334
6180-YBIQI	Male	No	No	No	5	No	No phone service	DSL	No	No	No	No	No	No	Month-to-month	No	Mailed check	24.3	100.2	No	0.315972825104
6728-DKUCO	Female	No	Yes	Yes	72	Yes	Yes	Fiber optic	Yes	Yes	No	No	Yes	Yes	One year	Yes	Electronic check	104.15	7303.05	No	0.1397545521
9750-BOOHV	Female	No	No	No	32	No	No phone service	DSL	Yes	No	No	No	No	No	One year	No	Mailed check	30.15	927.65	No	0.0454753764064
8597-CWYHH	Male	No	No	No	43	Yes	Yes	Fiber optic	No	No	No	No	Yes	Yes	One year	No	Mailed check	94.35	3921.3	No	0.243001798822
2848-YXSMW	Male	No	Yes	Yes	72	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Two year	No	Credit card (automatic)	19.4	1363.25	No	0.0
0486-HECZI	Male	No	Yes	No	55	Yes	Yes	Fiber optic	Yes	Yes	No	No	Yes	No	Month-to-month	Yes	Electronic check	96.75	5238.9	Yes	0.438861758072
4549-ZDQYY	Female	No	No	No	52	Yes	No	DSL	Yes	No	Yes	Yes	No	No	One year	No	Credit card (automatic)	57.95	3042.25	No	0.0654600052349
5712-AHQNN	Female	No	No	No	43	Yes	No	Fiber optic	No	Yes	Yes	No	Yes	No	Month-to-month	Yes	Electronic check	91.65	3954.1	No	0.328449344853
4846-WHAFZ	Female	Yes	Yes	No	37	Yes	Yes	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	76.5	2868.15	Yes	0.672372497888
5256-SKJGO	Female	No	Yes	Yes	64	No	No phone service	DSL	No	Yes	No	Yes	Yes	Yes	Two year	Yes	Electronic check	54.6	3423.5	No	0.0641481894978
3071-VBYPO	Male	No	Yes	Yes	3	Yes	No	Fiber optic	Yes	Yes	No	No	Yes	No	Month-to-month	No	Electronic check	89.85	248.4	No	0.396865424314
9560-BBZXK	Female	No	No	No	36	No	No phone service	DSL	Yes	No	No	No	No	No	Two year	No	Bank transfer (automatic)	31.05	1126.35	No	0.0946367215133
5299-RULOA	Female	No	Yes	Yes	10	Yes	Yes	Fiber optic	Yes	No	No	No	Yes	Yes	Month-to-month	Yes	Electronic check	100.25	1064.65	Yes	0.628195573055
8402-OOOHJ	Female	No	No	No	41	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Two year	No	Mailed check	20.65	835.15	No	0.00129032258065
9445-ZUEQE	Male	No	Yes	Yes	27	Yes	Yes	Fiber optic	No	Yes	No	Yes	No	No	Month-to-month	Yes	Credit card (automatic)	85.2	2151.6	No	0.229494136879
1091-SOZGA	Female	No	Yes	Yes	56	Yes	Yes	Fiber optic	No	No	Yes	No	Yes	Yes	One year	Yes	Credit card (automatic)	99.8	5515.45	No	0.178916492703
2928-HLDBA	Female	No	No	No	6	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Month-to-month	No	Mailed check	20.7	112.75	No	0.0999720374836
0404-SWRVG	Male	No	No	No	3	Yes	Yes	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	74.4	229.55	Yes	0.787088069742
6497-TILVL	Female	No	Yes	Yes	7	Yes	No	DSL	Yes	No	No	No	No	No	Month-to-month	No	Mailed check	50.7	350.35	No	0.142950157707
7219-TLZHO	Female	No	Yes	Yes	4	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Month-to-month	No	Mailed check	20.85	62.9	No	0.196229731449
4622-YNKIJ	Male	No	No	No	33	Yes	No	Fiber optic	Yes	No	No	Yes	Yes	No	Two year	Yes	Electronic check	88.95	3027.65	No	0.180902008882
4412-YLTKF	Female	Yes	No	No	27	Yes	Yes	Fiber optic	No	No	Yes	No	No	No	Month-to-month	Yes	Electronic check	78.05	2135.5	Yes	0.702129120114
6734-PSBAW	Male	No	Yes	No	72	Yes	Yes	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Two year	Yes	Bank transfer (automatic)	23.55	1723.95	No	0.0048119047619
3930-ZGWVE	Male	No	No	No	1	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Month-to-month	No	Mailed check	19.75	19.75	No	0.412990296619
2639-UGMAZ	Male	Yes	No	No	71	No	No phone service	DSL	Yes	Yes	No	No	Yes	Yes	One year	Yes	Electronic check	56.45	3985.35	No	0.160096011469
2876-GZYZC	Female	No	No	No	13	Yes	Yes	Fiber optic	No	No	No	No	No	Yes	Month-to-month	Yes	Electronic check	85.95	1215.65	No	0.734109227455
6207-WIOLX	Female	No	Yes	Yes	25	No	No phone service	DSL	Yes	Yes	Yes	No	Yes	Yes	Month-to-month	Yes	Credit card (automatic)	58.6	1502.65	Yes	0.261691822771
8587-XYZSF	Male	No	No	No	67	Yes	No	DSL	No	No	No	Yes	No	No	Two year	No	Bank transfer (automatic)	50.55	3260.1	No	0.0525101168847
3091-FYHKI	Male	No	No	No	1	No	No phone service	DSL	No	No	No	No	No	Yes	Month-to-month	Yes	Electronic check	35.45	35.45	Yes	0.755011825397
2372-HWUHI	Male	No	No	No	2	Yes	No	DSL	No	No	No	No	No	No	Month-to-month	No	Electronic check	44.35	81.25	Yes	0.464318559668
7799-LGRDP	Female	No	No	No	43	Yes	Yes	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Two year	Yes	Credit card (automatic)	25.7	1188.2	No	0.00727562582345
7850-VWJUU	Female	No	No	No	23	Yes	No	Fiber optic	Yes	No	No	No	No	No	Month-to-month	Yes	Bank transfer (automatic)	75.0	1778.5	No	0.311319893067
3774-VBNXY	Female	No	Yes	Yes	64	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Two year	No	Mailed check	20.2	1277.75	No	0.00323333333333
6217-KDYWC	Male	No	No	Yes	57	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Two year	Yes	Mailed check	19.6	1170.55	No	0.0329188446024
0390-DCFDQ	Female	Yes	Yes	No	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Mailed check	70.45	70.45	Yes	0.806522063707
3146-MSEGF	Female	Yes	Yes	Yes	72	Yes	Yes	DSL	Yes	Yes	Yes	Yes	Yes	Yes	Two year	Yes	Credit card (automatic)	88.05	6425.65	No	0.0747908586512
4080-OGPJL	Female	No	No	No	8	Yes	Yes	DSL	Yes	No	No	Yes	No	Yes	Month-to-month	No	Electronic check	71.15	563.65	Yes	0.418919022221
1095-WGNGG	Female	No	Yes	No	61	Yes	Yes	Fiber optic	No	Yes	No	No	Yes	Yes	Two year	Yes	Bank transfer (automatic)	101.05	5971.25	No	0.161323853938
2636-SJDOU	Male	No	No	No	64	Yes	Yes	Fiber optic	Yes	Yes	No	No	No	No	One year	Yes	Credit card (automatic)	84.3	5289.05	No	0.112631351458
1131-QQZEB	Male	Yes	Yes	No	71	Yes	Yes	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Two year	No	Bank transfer (automatic)	23.95	1756.2	No	0.00695021645022
5716-EZXZN	Female	No	Yes	Yes	65	Yes	Yes	Fiber optic	Yes	Yes	No	Yes	Yes	No	Two year	Yes	Credit card (automatic)	99.05	6416.7	No	0.0457163436811
6837-BJYDQ	Male	No	No	No	3	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	One year	No	Mailed check	19.6	61.35	No	0.0415441498442
2135-RXIHG	Male	No	No	No	1	Yes	No	DSL	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	45.65	45.65	Yes	0.646683998189
6440-DKQGE	Male	No	No	Yes	30	Yes	No	DSL	No	Yes	Yes	No	Yes	No	One year	No	Credit card (automatic)	64.5	1929.95	No	0.0637571007305
3466-BYAVD	Male	No	Yes	Yes	15	Yes	No	DSL	No	Yes	Yes	Yes	No	Yes	Month-to-month	Yes	Mailed check	69.5	1071.4	No	0.141199152476
3780-YVMFA	Female	No	Yes	Yes	8	Yes	No	DSL	No	No	No	Yes	Yes	Yes	Month-to-month	Yes	Electronic check	68.55	564.35	No	0.325215313238
3874-EQOEP	Male	No	No	No	7	Yes	Yes	Fiber optic	No	No	No	No	Yes	Yes	Month-to-month	No	Mailed check	95.0	655.5	Yes	0.683983323745
1679-JRFBR	Female	No	Yes	Yes	70	Yes	Yes	Fiber optic	Yes	Yes	Yes	No	Yes	Yes	One year	Yes	Credit card (automatic)	108.15	7930.55	No	0.127918516167
9073-ZZIAY	Male	No	Yes	Yes	62	Yes	No	DSL	Yes	Yes	Yes	Yes	Yes	Yes	Two year	No	Electronic check	86.1	5215.25	No	0.0241585736707
